Silva,9.44
Santos,5.96
Ferreira,5.25
Pereira,4.88
Oliveira,3.71
Costa,3.68
Rodrigues,3.57
Martins,3.23
Jesus,2.99
Sousa,2.95
Fernandes,2.82
Gonçalves,2.76
Gomes,2.57
Lopes,2.52
Marques,2.51
Alves,2.37
Almeida,2.27
Ribeiro,2.27
Pinto,2.09
Carvalho,1.97
Teixeira,1.69
Moreira,1.54
Correia,1.53
Mendes,1.39
Nunes,1.32
Soares,1.28
Vieira,1.2
Monteiro,1.11
Cardoso,1.07
Rocha,1.04
Neves,0.98
Coelho,0.97
Cruz,0.94
Cunha,0.93
Pires,0.92
Ramos,0.86
Reis,0.85
Simões,0.85
Antunes,0.82
Matos,0.82
Fonseca,0.81
Machado,0.76
Araújo,0.69
Barbosa,0.69
Tavares,0.67
Lourenço,0.65
Castro,0.62
Figueiredo,0.62
Azevedo,0.60
Freitas,0.60